epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1133.64,1.22958,1.39419,1.62269,0.69327,0.31596,0.34942,0.13495,2.0463,2.39841,3.25915,0.000324786,0.000324786,0.0678462
2,3309.04,1.16762,1.11838,1.57409,0.75181,0.70028,0.76672,0.46435,1.19082,1.67133,1.82606,0.000657959,0.000657959,0.034846
