epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,20151.7,0.85309,0.66597,1.33168,0.87868,0.77875,0.86582,0.65833,0.88984,0.78189,1.37718,0.000643101,0.000643101,0.000643101
43,20619.7,0.87863,0.65116,1.34365,0.91251,0.78503,0.89648,0.66894,0.89821,0.69368,1.38565,0.000628101,0.000628101,0.000628101
44,21086.8,0.83289,0.64286,1.32371,0.90511,0.82796,0.91929,0.69875,0.85273,0.6295,1.37385,0.000612981,0.000612981,0.000612981
45,21555,0.85511,0.65395,1.34132,0.94743,0.77512,0.87823,0.67825,0.8935,0.70616,1.40288,0.000597754,0.000597754,0.000597754
46,22022.8,0.81564,0.63035,1.31417,0.9065,0.82796,0.92119,0.68509,0.8979,0.66954,1.38198,0.000582435,0.000582435,0.000582435
47,22490.4,0.84489,0.65407,1.34789,0.93608,0.79032,0.90715,0.69723,0.856,0.66829,1.3568,0.00056704,0.00056704,0.00056704
48,22957.8,0.83771,0.64674,1.3292,0.86605,0.82796,0.90743,0.66697,0.92665,0.71526,1.38995,0.000551584,0.000551584,0.000551584
49,23426,0.78555,0.58707,1.26983,0.94881,0.81183,0.92814,0.7145,0.77481,0.60233,1.26009,0.000536081,0.000536081,0.000536081
50,23894.9,0.82133,0.62457,1.31258,0.93057,0.80108,0.91754,0.69257,0.90597,0.68345,1.40134,0.000520548,0.000520548,0.000520548
51,24362.7,0.773,0.59693,1.27139,0.83171,0.79714,0.85624,0.67834,0.82408,0.76928,1.33228,0.000505,0.000505,0.000505
52,24830.4,0.82419,0.60206,1.30149,0.88494,0.80645,0.89991,0.71315,0.80324,0.67505,1.29988,0.000489452,0.000489452,0.000489452
53,25298,0.7944,0.60669,1.30014,0.93024,0.83333,0.91536,0.68766,0.88568,0.6558,1.40156,0.000473919,0.000473919,0.000473919
54,25766,0.80394,0.60738,1.31469,0.8983,0.80731,0.89752,0.70188,0.81021,0.62721,1.32538,0.000458416,0.000458416,0.000458416
55,26234.7,0.78389,0.59376,1.28027,0.8551,0.8172,0.90686,0.70532,0.83642,0.63098,1.34,0.00044296,0.00044296,0.00044296
56,26703.6,0.78335,0.58399,1.28929,0.93622,0.78924,0.91852,0.69262,0.89605,0.63405,1.40869,0.000427565,0.000427565,0.000427565
57,27172.3,0.7831,0.58573,1.28295,0.94004,0.75859,0.88254,0.6888,0.86622,0.69561,1.36732,0.000412246,0.000412246,0.000412246
58,27640.3,0.75951,0.54796,1.26362,0.91842,0.79032,0.89873,0.6821,0.91804,0.69087,1.42374,0.000397019,0.000397019,0.000397019
59,28108.4,0.75788,0.53447,1.24959,0.91344,0.79032,0.88592,0.67821,0.85017,0.71299,1.34432,0.000381899,0.000381899,0.000381899
60,28576.4,0.77308,0.56254,1.27641,0.8818,0.80219,0.88284,0.70366,0.81901,0.71933,1.32282,0.000366899,0.000366899,0.000366899
61,29044.4,0.74429,0.54219,1.2525,0.94818,0.79032,0.91279,0.70567,0.87673,0.66473,1.40339,0.000352037,0.000352037,0.000352037
62,29512.7,0.76068,0.55901,1.26801,0.9358,0.7957,0.9082,0.69495,0.86988,0.69062,1.35588,0.000337325,0.000337325,0.000337325
63,29981.1,0.72853,0.54177,1.25658,0.93449,0.78495,0.90051,0.70461,0.82936,0.69958,1.32599,0.000322778,0.000322778,0.000322778
